pl_name,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,sy_dist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 393818343 b,0.1291,12.18416202,1379.375286,805.5,5756,1.086,93.7345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1062 b,0.052,2.265,10.15,1077,5328,0.84,82.1733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1107 b,0.0561,14.57167491,1064.725163,1728,6311,1.81,281.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1173 b,0.0696,9.19,27.4,868,5350,0.934,132.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1231 b,0.1288,3.65,15.4,329.6,3553,0.476,27.6227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1235 b,0.03845,1.69,6.69,775,3997,0.619,39.6345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-125 b,0.05186,2.726,9.5,1037,5320,0.848,111.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-125 c,0.0814,2.759,6.63,827.8,5320,0.848,111.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-125 d,0.137,2.93,13.6,638.1,5320,0.848,111.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1266 b,0.073,2.52,4.46,415,3563,0.4232,36.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1295 b,0.047,15.69257298,451.3163379,2360,6280,1.7,388.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1728 b,0.0391,5.05,26.78,767,3980,0.6243,60.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-181 b,0.0539,6.9559,46.1687,895.1,4994,0.745,96.2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1899 b,0.1525,11.09689089,212.9450327,378,3926,0.607,128.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2010 b,0.5516,11.81426566,408.7273314,400.2,5929,1.079,109.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2015 b,0.029322,3.309,9.2,530.9,3297,0.3273,47.3444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2134 b,0.078,2.69,9.13,666,4580,0.709,22.6202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2134 c,0.371,7.27,41.89,306,4580,0.709,22.6202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2180 b,0.828,11.32107051,875.6172613,348,5695,1.636,116.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2458 b,0.0482,2.83,13.31,1509.4,6005,1.31,112.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2580 b,0.048,17.37392009,200.2318964,2410,6120,1.81,379.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-269 b,0.0345,2.77,8.8,531,3514,0.398,57.0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-3629 b,0.043,8.29464572,82.63538582,690,3870,0.6,130.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-3714 b,0.027,11.32107051,222.4798849,750,3660,0.51,112.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-3757 b,0.03845,12,85.3,759,3913,0.62,181.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-3785 b,0.043,5.14,14.95,582,3576,0.5,79.7634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-3884 b,0.0361,6.43,32.59,441,3180,0.302,43.1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-4010 b,0.0229,3.02,11,1441,4960,0.83,177.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-4010 c,0.058,5.93,20.31,907,4960,0.83,177.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-4010 d,0.113,6.18,38.15,650,4960,0.83,177.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-406 c,0.0322,1.32,2.08,584,3392,0.41,31.0597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-406.01,0.0809,2.08,6.57,368,3392,0.41,31.0597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-4127 b,0.3081,12.28504285,731.0053361,605.1,6096,1.293,319.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-4201 b,0.04,13.67495645,788.2144494,725,3794,0.63,189.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-421 b,0.0554,2.64,6.7,922,5291,0.866,74.7969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-421 c,0.117,5.09,14.1,635,5291,0.866,74.7969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-4438 b,0.0534,2.52,5.4,435,3422,0.372,30.0346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-4603 b,0.0888,11.67975789,4096.808166,1677,6264,2.738,225.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-4860 b,0.01808,8.7,86.7,694,3260,0.358,80.1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-500 b,0.01189,1.166,1.42,1617,4440,0.678,47.3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-5542 b,0.332,11.30986153,419.5334972,441,5700,1.058,348.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-561 c,0.0889,2.865,5.93,802,5342,0.843,85.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-561 d,0.1587,2.615,13.33,600,5342,0.843,85.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-561 e,0.33,2.517,12.4,416,5342,0.843,85.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-6130 b,0.036,14.3474953,333.7198274,1750,6110,1.51,220.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-733 b,0.0618,1.992,5.72,1055.8,5585,0.949,75.2092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-776 b,0.0653,1.798,5,520,3725,0.547,27.1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-776 c,0.1001,2.047,6.9,420,3725,0.547,27.1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-836 b,0.0422,1.704,4.53,871,4552,0.665,27.5024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-836 c,0.075,2.587,9.6,665,4552,0.665,27.5024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-908 b,0.041657,3.186,16.137,1317,5626,1.028,175.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-132 b,0.0674,10.09929161,136.0305582,682,4686,0.758,122.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-18 b,0.02024,13.89913607,3241.849751,2429,6432,1.319,123.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-19 b,0.01652,15.86070769,366.7739817,2113,5616,1.006,268.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-193 b,0.0676,16.40994774,44.17814857,1254,6078,1.239,362.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-2 b,0.03144,12.116929,295.89973,1311,5180,0.866,153.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-47 b,0.052,12.86,374,1275,5371,1.156,264.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-77 A b,0.02335,13.78704626,529.8199545,1715,5617,0.91,105.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf 503 b,0.05712,2.043,6.27,789,4716,0.689,44.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
